漢字,読み
夫,おっと
不（不安）,ふ（ふあん）
氏（氏名）,し（しめい）
欠ける,かける
井（井戸）,い（いど）
令（命令）,れい（めいれい）
末,すえ
付ける,つける
必ず,かならず
民（国民）,みん（こくみん）
包む,つつむ
辺,あたり
未（未来）,み（みらい）
失う,うしなう
司（司会）,し（しかい）
札,ふだ
功（成功）,こう（せいこう）
加える,くわえる
以（以上）,い（いじょう）
老いる,おいる
灯（電灯）,とう（でんとう）
好む,このむ
兆（前兆）,ちょう（ぜんちょう）
仲,なか
争う,あらそう
伝える,つたえる
成る,なる
共,とも
各（各自）,かく（かくじ）
印,しるし
衣,ころも
労（労働）,ろう（ろうどう）
冷たい,つめたい
良い,よい
利（便利）,り（べんり）
別れる,わかれる
兵（兵士）,へい（へいし）
臣（大臣）,しん（だいじん）
努める,つとめる
低い,ひくい
束,たば
折る,おる
初め,はじめ
児（児童）,じ（じどう）
阪（大阪）,さか（おおさか）
材（材料）,ざい（ざいりょう）
岐（分岐）,き（ぶんき）
完（完成）,かん（かんせい）
佐（佐賀）,さ（さが）
芸（芸術）,げい（げいじゅつ）
求める,もとめる
希（希望）,き（きぼう）
改める,あらためる
沖（沖縄）,おき（おきなわ）
位,くらい
例える,たとえる
牧（牧場）,ぼく（ぼくじょう）
奈（奈良）,な（なら）
典（辞典）,てん（じてん）
的,まと
法（方法）,ほう（ほうほう）
阜（岐阜）,ふ（ぎふ）
府（政府）,ふ（せいふ）
念（残念）,ねん（ざんねん）
底,そこ
卒（卒業）,そつ（そつぎょう）
固い,かたい
径（半径）,けい（はんけい）
協（協力）,きょう（きょうりょく）
松,まつ
周り,まわり
治す,なおす
参る,まいる
刷る,する
泣く,なく
季（季節）,き（きせつ）
官（警官）,かん（けいかん）
芽,め
果たす,はたす
岡,おか
英（英語）,えい（えいご）
要,かなめ
勇む,いさむ
約（約束）,やく（やくそく）
便り,たより
変わる,かわる
飛ぶ,とぶ
栃（栃木）,とち（とちぎ）
昨（昨年）,さく（さくねん）
香り,かおり
建てる,たてる
軍（軍隊）,ぐん（ぐんたい）
単（単位）,たん（たんい）
浅い,あさい
信（信号）,しん（しんごう）
城,しろ
省く,はぶく
祝う,いわう
栄える,さかえる
茨（茨城）,いばら（いばらき）
連れる,つれる
料（料理）,りょう（りょうり）
浴びる,あびる
梅,うめ
特（特別）,とく（とくべつ）
徒（生徒）,と（せいと）
帯,おび
孫,まご
残る,のこる
差す,さす
倉,くら
席,せき
笑う,わらう
借りる,かりる
候（気候）,こう（きこう）
郡,ぐん
訓（訓練）,くん（くんれん）
挙げる,あげる
害（害虫）,がい（がいちゅう）
案（案内）,あん（あんない）
陸（大陸）,りく（たいりく）
梨,なし
望む,のぞむ
副（副会長）,ふく（ふくかいちょう）
票,ひょう
敗れる,やぶれる
埼,さい
崎,さき
菜,な
側,がわ
巣,す
清い,きよい
唱える,となえる
鹿,しか
産む,うむ
康（健康）,こう（けんこう）
健（健康）,けん（けんこう）
械（機械）,かい（きかい）
貨（貨物）,か（かもつ）
量る,はかる
無い,ない
満ちる,みちる
富,とみ
媛（愛媛）,ひめ（えひめ）
滋（滋賀）,し（しが）
散る,ちる
最も,もっとも
結ぶ,むすぶ
景（風景）,けい（ふうけい）
極（北極）,きょく（ほっきょく）
飯（ご飯）,はん（ごはん）
博（博物館）,はく（はくぶつかん）
達（達人）,たつ（たつじん）
隊（軍隊）,たい（ぐんたい）
然（自然）,ぜん（しぜん）
焼く,やく
順（順番）,じゅん（じゅんばん）
給（給食）,きゅう（きゅうしょく）
覚える,おぼえる
街,まち
賀（年賀状）,が（ねんがじょう）
働く,はたらく
置く,おく
照らす,てらす
辞（辞書）,じ（じしょ）
試す,こころみる
続く,つづく
戦う,たたかう
節（季節）,せつ（きせつ）
群れ,むれ
塩,しお
愛,あい
徳（道徳）,とく（どうとく）
説く,とく
漁（漁業）,ぎょ（ぎょぎょう）
静か,しずか
種,たね
旗,はた
察（警察）,さつ（けいさつ）
熊,くま
関わる,かかわる
管,くだ
輪,わ
養う,やしなう
器（食器）,き（しょっき）
潟（新潟）,がた（にいがた）
標（目標）,ひょう（もくひょう）
熱い,あつい
縄（沖縄）,なわ（おきなわ）
選ぶ,えらぶ
課（課題）,か（かだい）
億,おく
録（記録）,ろく（きろく）
機（機械）,き（きかい）
積む,つむ
類（種類）,るい（しゅるい）
観（観光）,かん（かんこう）
験（試験）,けん（しけん）
鏡,かがみ
願う,ねがう
競（競争）,きょう（きょうそう）
議（会議）,ぎ（かいぎ）
